chapter_no	chapter_title	question_no	question	choice_1	choice_2	choice_3	choice_4	answer	evidence	explanation
12	Extra Protection	2	What is the dried herb Halmoni tells Lily to keep in her pocket?	Mugwort	Sage	Pine needles	Ginger	1	“What is it?” [RED: “This mugwort,” she explains. “This my medicine to eat, but you don’t eat. You keep in you pockets, and it give you protection.”] I thank her and slip the dried herb into my pocket.	먹지 말고 주머니에 넣고 다니라고 합니다.
12	Extra Protection	3	할머니가 목에서 풀어 릴리에게 걸어 준 것은?	금반지	은팔찌	진주 펜던트 목걸이	옥 노리개	3	I thank her and slip the dried herb into my pocket. [RED: “And this…” She hesitates before reaching behind her neck and unlatching the necklace. The silver chain with the pearl pendant—her special necklace, the one she wears every day, the one she rubs between her fingers when she’s trying to find the right English words. “This help, too. You wear for protection, and it keep you safe.”] My pulse beats in every limb as she fastens it around my neck.	할머니가 날마다 걸고 다니던 목걸이입니다.
12	Extra Protection	4	Why does Sam refuse to drive?	She failed her test.	She is afraid of the dark.	She thinks of Dad’s car accident.	She has no permit.	3	Mom keeps bugging Sam to practice. [RED: But, of course, she won’t. Sam tried two lessons with her driving instructor and refused to get behind the wheel after that. Nothing bad happened, but she won’t do it because of Dad’s car accident.] Halmoni presses her palm against Sam’s cheek.	임시 면허가 있는데도 강습 두 번 만에 운전대를 놓았습니다.
12	Extra Protection	5	마트에 가기 전 할머니가 한 일은?	가계부를 챙겼다	이웃에게 전화했다	좋은 옷으로 갈아입었다	머리를 감았다	3	“No. I’ll come,” she says. [RED: Halmoni claps. “Good girls! I go change into fancy clothes.” Sam frowns. “Why?” “Grocery,” Halmoni answers before disappearing into her room.] Sam shakes her head, but a tiny smiles tugs at her lips.	"장 보러 가는데 왜 그러냐는 물음에 ""장 보러""라고만 답합니다."
12	Extra Protection	6	할머니가 삼십 분 안에 나와야 한다고 한 이유는?	가게가 문을 닫아서	곧 비가 온다고 해서	엄마가 돌아와서	약을 먹을 시간이라서	2	Sam raises an eyebrow when she sees the protection category, but she doesn’t say anything. [RED: “We have to leave here in half hour, because rain coming soon,” Halmoni says. Sam frowns. “It’s not gonna rain today. The weather app says there’s a zero percent chance.”] Halmoni just pats Sam’s head.	날씨 앱은 비 올 확률이 0퍼센트라고 했지만 할머니 말이 맞았습니다.
12	Extra Protection	7	What does the woman with red curly hair say Halmoni did for her?	She cured her asthma.	She lent her money.	She taught her to cook.	She found her lost dog.	1	“These my little ones.” [RED: “Your grandmother is the greatest,” the woman gushes to Sam and me. “She cured my asthma with her plants.”] Sam takes a very small step back.	마을 사람마다 할머니에 얽힌 이야기를 하나씩 갖고 있습니다.
12	Extra Protection	8	What does Lily hide behind while she eavesdrops?	A freezer door	A display of Lucky Charms boxes	A shopping cart	A row of coats	2	I tiptoe down the aisle until I reach the end. [RED: There’s a big BUY TWO, GET ONE FREE! display of Lucky Charms—about a hundred stacked cereal boxes—and I use it as a spy shield.] I peek out around the side.	시리얼 상자 더미를 방패 삼아 숨어서 엿듣습니다.
12	Extra Protection	9	릴리가 엿들은 리키 아빠의 말은?	같이 만들어 보자	엄마한테 물어보렴	그만 좀 떠들어라	집에 가자	3	With the laser only, so it’s not like he could actually feel it, and then—” [RED: “Will you just shut up?” The words echo through me. I feel the horribleness of them in my chest, squeezing hard.] Sam tugs at my shirtsleeve.	아들의 말을 끊어 버리는 이 한마디에 릴리가 얼어붙습니다.
12	Extra Protection	10	할머니가 리키와 그 아버지에게 남긴 말은?	남에게 폐를 끼치지 말라	아이는 어른 말을 들어야 한다	서로 사과하라	힘들 때일수록 서로 붙어 있으라	4	Now is not the time for one of Halmoni’s life lessons. Turning back to his dad, Halmoni says, [RED: “And when Ricky have struggle, you help him. We always remember to help each other. You both good boys, and you have hard times. I know that. But when you have hard times, you come together, not apart. Okay?”] Halmoni glows with both fierceness and kindness.	어려울 때 갈라서지 말고 함께 있으라고 당부합니다.
13	Fix It	1	할머니가 갑자기 차를 꺾은 이유는?	앞차가 급정거해서	샘이 소리를 질러서	길이 미끄러워서	길 한가운데 호랑이가 서 있어서	4	She stares straight ahead, shaking her head slightly. [RED: I follow her gaze—and I see the tiger. It stands right in front of us, eyes locked on Halmoni’s. And the weirdest thing—it’s like it’s not raining around the tiger.] The tiger isn’t getting wet, as if there’s a protective bubble around it, where the rain refuses to fall.	릴리와 할머니 둘 다 호랑이를 보았습니다.
13	Fix It	2	What is strange about the tiger standing in the road?	It is asleep.	It is much smaller.	It has no stripes.	The rain does not fall on it.	4	And the weirdest thing—it’s like it’s not raining around the tiger. [RED: The tiger isn’t getting wet, as if there’s a protective bubble around it, where the rain refuses to fall.] I turn to Halmoni, and I can tell she sees it, too.	이 장면은 40장에서 다시 중요한 뜻을 갖게 됩니다.
13	Fix It	3	차를 세운 뒤 할머니가 한 일은?	길가로 나가 토했다	차를 바꿔 몰았다	경찰에 신고했다	그대로 잠들었다	1	In the rearview mirror, Halmoni’s whole face puckers like a sour plum seed. [RED: Then Halmoni’s in motion, and we can’t stop her. She opens her door and hobbles over to the side of the road, clutching her stomach, hunched. She drops to her knees, and her body shakes as she coughs.] Sam and I rush out of the car, and I spin around, looking for the tiger, but it’s gone.	배를 움켜쥐고 길가에 주저앉습니다.
13	Fix It	4	할머니가 두 손녀에게 누구를 부르라고 했나요?	엄마	구급차	사서 조	이웃	1	And Sam stares back, eyes wide, hand shaking. [RED: “Mom,” Halmoni gasps. “Call you mom.”] Sam dials, and ten minutes later, Mom’s tires screech against the road behind us.	릴리는 911에 전화하자고 했지만 할머니는 엄마를 찾았습니다.
13	Fix It	5	별에게 어떻게 해야 하냐고 물은 릴리가 들은 답은?	기다려라	도망쳐라	고쳐라	잊어라	3	The stars seem to dance as we drive past, and even though they are light-lifetimes away, I can almost hear them, singing their stories. [RED: What do I do? I ask again. They wink at me. Fix it.]	이 말이 다음 장부터 릴리를 움직이게 합니다.
14	The Tiger’s Deal	1	한밤중에 나타난 호랑이에 대해 릴리가 놀란 점은?	새끼를 데리고 왔다	말을 하고 암컷이었다	몸집이 아주 작았다	다리를 절었다	2	The giant shadow steps forward, into the starlight, and it becomes the tiger—big as a car, filling the whole hallway. [RED: “You talk,” I whisper. And then, without meaning to, I add, “And you’re a girl.” I clamp my lips shut, because what a ridiculous thing to say.] She scoffs.	"호랑이는 ""이야기 하나 듣고 다 똑같은 줄 아느냐""고 쏘아붙입니다."
14	The Tiger’s Deal	2	What does the tiger say she came for?	The stars Halmoni stole	Lily’s help with a hunt	A place to sleep	Halmoni’s necklace	1	She makes a sound that’s halfway between a purr and a growl. [RED: “Your halmoni stole the stars, and I am here to collect them. That is all. Will you help me, little one?”] My mouth is so dry, I can barely form the word, but I manage.	할머니가 훔쳐 간 별을 되찾으러 왔다고 말합니다.
14	The Tiger’s Deal	3	호랑이가 말한, 이야기를 가두어 두면 생기는 일은?	호랑이가 약해진다	별이 꺼진다	이야기가 사라진다	마법이 상해 독이 된다	4	The tiger scared her. But the big cat continues, [RED: “Story magic is powerful, powerful enough to change someone. And when a story is locked away, its magic only grows. Sometimes it grows sour. The magic becomes a kind of poison. Do you understand?”] I refuse to respond.	가둘수록 마법이 커지다가 독으로 변한다고 합니다.
14	The Tiger’s Deal	4	호랑이가 내놓은 거래의 내용은?	샘의 기억을 지워 준다	별을 돌려주면 할머니가 낫는다	릴리를 호랑이로 만들어 준다	아빠를 다시 만나게 해 준다	2	“You’re lying,” I say, but my voice cracks. [RED: “I’m offering a deal. You help me find the stories, I’ll return them to their place in the sky, and you never have to think about them again. I get my stars back, and we help your halmoni. You don’t even have to hear the stories. Everybody wins.”] The tiger shifts her weight, paw to paw, and her fur glistens in the starlight.	이야기를 하늘로 돌려보내면 할머니가 낫는다는 제안입니다.
14	The Tiger’s Deal	5	Why does the tiger leave without a deal?	Mom wakes up.	Lily is too afraid to answer in time.	The sun comes up.	Lily says no clearly.	2	I’m so afraid of saying the wrong answer that I don’t say anything at all. [RED: For a few stretched-out moments, the tiger waits. Then she shakes her head. Already she’s fading into shadow. “I was hoping you’d surprise me.”] I think of Halmoni tonight, and how helpless I felt, and how I need to fix this.	"""할게요""라고 외쳤을 때는 이미 늦었습니다."
15	Buying More Time	1	릴리가 엿들은 대화에서 엄마가 거듭 부탁한 것은?	아이들에게 말하지 말라	이사를 가자	다른 치료를 받아 보라	병원을 옮기자	3	Hat help, too.” [RED: “Mom! I don’t need a hat. I need you.” Mom’s voice breaks. When she speaks again, her voice is quiet. “Please just try the other treatments. Don’t give up.”] Treatments.	엄마는 포기하지 말라며 다른 치료를 권합니다.
15	Buying More Time	2	할머니가 화를 내며 한 말은?	지금 어떻게 지낼지만은 내가 정하겠다	병원에 가지 않겠다	한국으로 돌아가겠다	치료를 다시 받겠다	1	The softness in Halmoni’s words evaporates. [RED: “You think I just give up? No! I don’t want to go. I don’t want to leave you. I am not ready. But I don’t get to decide. The only thing I decide is how I be right now. So you don’t take that away from me.”] I’ve never heard Halmoni sound so angry.	가고 싶지 않지만 정할 수 있는 것은 그것뿐이라고 말합니다.
15	Buying More Time	3	What surprises Lily most while she listens at the stairs?	The tiger appears.	Halmoni shouts.	Mom is crying.	Sam is awake too.	3	There’s a scary side of her, like there’s a tiger hiding just below her skin, straining to get out. [RED: I hear another strange sound, and it’s so out of place that I don’t recognize it at first. Until I realize: Mom’s crying. But Mom never cries.] “Joanie,” Halmoni says quietly.	우는 법이 없던 엄마가 울고 있었습니다.
15	Buying More Time	4	엄마가 알려 준 할머니의 병은?	심장병	폐렴	치매	뇌암	4	Happy sunlight spills through the windows, like the weather is mocking me. [RED: Mom says, “Halmoni has brain cancer.”] For a few seconds, my insides go ice-numb.	릴리는 그 말을 소리 내어 따라 하지도 못합니다.
15	Buying More Time	5	엄마가 병의 증상으로 들지 않은 것은?	환각	기억상실	메스꺼움	피해망상	2	I try to say it out loud—brain cancer—but I can’t. [RED: Mom continues. “That’s what’s causing the symptoms you might have seen: the nausea, the paranoia, and all the—Well, sometimes with this type of illness, patients can have, uh, hallucinations.”] “Hallucinations?”	엄마는 메스꺼움과 피해망상과 환각 세 가지를 꼽습니다.
16	The Doom Trap	1	호랑이 이야기를 꺼낸 릴리에게 샘이 한 말은?	같이 찾아보자	정신적 스트레스 반응이다	엄마에게 말하자	나도 봤다	2	Maybe she thought she was the only one, and now she’s relieved. [RED: But then she says, “You need to get it together. This is some kind of mental stress reaction, or something, because what you’re saying is impossible.”] “Things are only impossible if you believe they’re impossible.	샘은 불가능한 일이라며 릴리의 말을 잘라 버립니다.
16	The Doom Trap	2	What idea does Joe say was a good one?	A new sign	A summer camp	A reading club	A bake sale	4	For a second, I think he discovered my tiger plan, but of course that’s impossible. [RED: His mustache twitches. “Jensen said you suggested a bake sale. Not sure how much money that would actually raise, but it does seem like a good way to get the community engaged.”] “Oh,” I repeat.	릴리가 무심코 던진 말이 도서관 모금 행사가 되었습니다.
16	The Doom Trap	3	이날 리키가 쓰고 있던 모자는?	뉴스보이 캡	검정 야구모자	위장무늬 실크해트	BEANS라고 적힌 비니	4	Ricky looks up and grins. [RED: Today he’s wearing a beanie that says BEANS, pulled down to his eyebrows.] And if he feels awkward after the grocery-store incident, he doesn’t show it.	beanie와 beans의 소리가 같은 것을 이용한 농담입니다.
16	The Doom Trap	4	리키가 릴리의 이름을 뭐라고 잘못 불렀나요?	Lucy	Millie	Lila	Lizzie	4	Maybe that’s his superpower—the unpleasant, uncomfortable things don’t bother him. [RED: “Lizzie!” he shouts. It takes me a second to realize he’s talking to me, and Jensen smiles apologetically. “It’s Lily,” she corrects.] “Hi, Lily, how are you?”	젠슨이 미안한 얼굴로 이름을 바로잡아 줍니다.
16	The Doom Trap	5	Why does Lily ask Jensen for a pudding?	She is hungry.	She wants to be polite.	She wants a moment alone with Ricky.	Ricky told her to.	3	“Jensen, can I have a pudding, too?” [RED: She blinks. It’s rude, I know, but I need a second alone with Ricky.] Jensen covers her surprise with a smile and stands up.	젠슨을 잠시 자리에서 떼어 놓으려는 핑계였습니다.
16	The Doom Trap	6	리키가 되고 싶다고 말한 직업은?	수의사	만화가	기자	심리학자	4	“The tutoring isn’t because I’m stupid,” Ricky says as soon as Jensen leaves. “It’s just because [RED: I don’t have a word brain. That’s why. Or a numbers one, I guess. But I’m going to be a psychologist. I have a very intuitive understanding of the human psyche,” he says, as if he’s reciting something he read online.] “I’m very good at reading people.”	사람 마음을 잘 읽는다며 인터넷에서 읽은 듯한 말을 옮깁니다.
16	The Doom Trap	7	리키가 만화책을 펼쳐 보이며 낸 제안은?	호랑이 덫을 만들자	사서에게 물어보자	증조할아버지 일기를 찾자	동물원에 가자	1	I lean closer to read the title: The Adventures of Superman: Doom Trap! [RED: Ricky grins. “We could make a trap. Like a pit to catch tigers in. It’ll be so cool, see?” He opens the comic to a dog-eared page and shows me the drawing of Superman, trapped in a giant metal box and a web of red laser beams.] “I don’t think I can do something like that.	슈퍼맨이 갇힌 장면을 덫의 본보기로 내밉니다.
16	The Doom Trap	8	What problem does Lily point out about the comic book trap?	Superman breaks out of it.	It needs electricity.	It is too small.	It costs too much.	1	He opens the comic to a dog-eared page and shows me the drawing of Superman, trapped in a giant metal box and a web of red laser beams. [RED: “I don’t think I can do something like that. And also…” I stare at the illustration. “Isn’t Superman the good guy? Doesn’t he break out of that trap?”] Ricky frowns, and now he’s the one who looks disappointed.	주인공은 결국 덫에서 빠져나온다는 점을 짚습니다.
17	Like a Prison	1	젠슨이 샘을 알아본 이유는?	같은 초등학교에 다녀서	할머니가 소개해서	사진을 봐서	옆집에 살아서	1	Sam’s eyes widen, and Jensen grins. [RED: “Not to be creepy or anything. You just looked familiar to me. You went to Sun Elementary, right? Like, ages ago?”] Sam pauses.	한 학년 위였던 같은 초등학교 학생이었습니다.
17	Like a Prison	2	How does Sam act when she meets Jensen?	She walks away.	She ignores her.	She stammers.	She laughs loudly.	3	That’s the problem with sticky people. [RED: “H-hey,” Sam says to Jensen, stammering a little bit. “I’m, uh, Sam.” She’s caught off guard by Jensen’s niceness or something.] But then she turns back to me, eyes narrowing.	늘 당당하던 샘이 말을 더듬는 낯선 장면입니다.
17	Like a Prison	3	젠슨이 샘에게 함께 하자고 권한 일은?	봉사 활동	학교 신문 만들기	도서관 모금 행사	독서 모임	3	Jensen toys with her curls. [RED: “You know, we’re doing a bake sale to raise money for the library. It was Lily’s idea, actually. And you’re welcome to help, if you’re interested. I can give you my number and we can coordinate.”] “Yeah, I…okay.	번호를 주고받으며 함께 준비하자고 합니다.
17	Like a Prison	4	리키가 쪽지를 건네며 큰 소리로 한 말은?	누나한테 말하지 마	고맙다	내일 보자	비밀 계획을 위해서	4	Ricky says. [RED: He holds out the scrap of paper and drops it into my palm. He lowers his voice to a loud whisper. “For later. You know. For the secret plan.”] Jensen looks surprised.	몰래 건네라는 눈짓을 알아채지 못하고 크게 말해 버립니다.
17	Like a Prison	5	샘이 화가 난 진짜 이유는?	릴리가 자기 물건을 만져서	릴리가 말없이 나가 자기만 엄마와 남겨져서	젠슨이 릴리와 더 친해서	릴리가 비밀을 말해서	2	She stares at me. [RED: “Seriously? That’s what you’re upset about? You ran out in the middle of a conversation and left me with Mom, who’s already super stressed.”] “Sorry,” I murmur, and I mean it.	이미 힘들어하는 엄마를 혼자 감당하게 되었다는 것입니다.
18	Tiger Trapmaster	1	리키가 스스로에게 붙인 이름은?	Tiger Trapmaster	Hat Man	Super Ricky	Comic Boy	1	“Whoa,” I say as he steps through the front door. [RED: He lifts his top hat in greeting. “Tiger Trapmaster, at your service.”] I blink.	자기 슈퍼히어로 이름이라며 소개합니다.
18	Tiger Trapmaster	2	What does Ricky bring to build the trap?	A ladder	A shovel	A huge coil of rope	A metal cage	3	Ricky arrives on his bike a few hours later, after Mom takes Halmoni to a follow-up doctor’s appointment. Sam’s upstairs, so it’s just me in the living room, which is probably good, because [RED: he’s got about a thousand yards of rope wrapped around his waist and is wearing head-to-toe camouflage—including a camo-patterned top hat.] “Whoa,” I say as he steps through the front door.	온몸에 밧줄을 감고 위장무늬 차림으로 나타납니다.
18	Tiger Trapmaster	3	덫을 지하실에 만들자며 릴리가 리키에게 댄 이유는?	호랑이가 거기 살아서	비를 맞으면 안 되니까	어른들이 못 보게	더 넓으니까	2	“But…it’s not, though.” [RED: “I don’t want it to get rained on,” I say. I can’t tell him the real reason—the tiger appeared in the house.] She thinks the stolen star stories are somewhere in here.	진짜 이유는 호랑이가 집 안에 나타났기 때문입니다.
18	Tiger Trapmaster	4	샘이 두 사람에게 한 말은?	자기도 돕겠다	마음대로 하되 자기는 빼 달라	당장 그만두라	엄마에게 이르겠다	2	Sisters…keep each other’s secrets.” [RED: We stare each other down, until finally, she shakes her head. “Fine. Do whatever. Just leave me out of it.”] “Oh.”	말리지도 돕지도 않겠다는 뜻이라 릴리는 오히려 서운해합니다.
18	Tiger Trapmaster	5	What does Ricky say about hats and his mom?	She hated them.	They used to buy hats together.	She wore one every day.	She made them for him.	2	We take a few more steps, and he keeps talking. [RED: “My mom and I used to buy hats together. That was kind of our thing. You need a good hat for every occasion, because a special hat can make you feel special. It’s the same reason superheroes wear capes.”] I nod along, but my mind snags on the used to.	"릴리는 ""used to""라는 과거형에 마음이 걸립니다."
18	Tiger Trapmaster	6	떨어뜨린 상자 안에 들어 있던 것은?	뽁뽁이에 싸인 냄비와 팬	한국어 책	깨진 그릇	오래된 사진첩	1	Ricky leans over to open the box, and I check inside. [RED: Beneath a layer of Bubble Wrap is a pile of pots and pans. Everything looks intact.] The clatter must have been the pans banging against each other.	깨진 것은 없었고 소리는 냄비끼리 부딪친 것이었습니다.
18	Tiger Trapmaster	7	가장 큰 냄비 안에서 나온 것은?	돈	편지	유리 항아리 세 개	열쇠	3	I rearrange the cookware inside the box—but inside the biggest pot, something catches my eye. [RED: I reach in and pull out three wads of Bubble Wrap. The objects inside glint beneath the plastic, flashing in the light. “Whoa.” Ricky sucks in a breath as he leans over my shoulder. “We. Found. Treasure.” Only it isn’t treasure. It’s…jars.]	리키는 보물이라고 외쳤지만 항아리였습니다.
19	The Bait	1	How many jars do they find?	Three	Four	Five	Two	1	“Star jars,” I breathe. [RED: I peel the Bubble Wrap off one of them, and the jar inside is small and round, made of dark blue glass, with a silver cork stuffed in its mouth. Quickly I unwrap the others, checking for cracks, but they’re okay, too. One of them is tall and thin, made of clear glass with a black cork. The other is dark green and square shaped.] Ricky takes a step closer.	남색 둥근 것, 길쭉한 투명한 것, 짙은 초록 네모난 것입니다.
19	The Bait	2	리키의 어떤 말이 릴리를 발끈하게 했나요?	할머니를 흉봐서	덫이 시시하다고 해서	호랑이는 없다고 해서	자기를 슈퍼맨을 가둔 렉스 루서에 빗댄 것 같아서	4	“So, what would you do after you trapped the tiger?” [RED: And then, like he’s afraid I won’t answer, he adds, “In Superman: Doom Trap!, Lex Luthor wants to torture him to reveal the secrets of Krypton and also the universe—” “It’s not like that,” I interrupt, because that kind of makes me sound like the bad guy.] “This is real life.	악당이 된 기분이 들어 말을 잘라 버립니다.
19	The Bait	3	리키가 여름 과외를 받는 이유는?	상급반에 가려고	국어 과목에 낙제해서	전학을 준비하려고	아빠가 시켜서	2	“Yeah, that’s true,” he says, sitting on the box next to me. “[RED: I failed language arts last year.]” “Oh,” I say.	지난해 language arts 과목에 낙제해 여름 과외를 받고 있습니다.
19	The Bait	4	What does Lily finally tell Ricky about her halmoni?	She is a witch.	She is sick.	She has moved away.	She hates tigers.	2	And secrets are exhausting. [RED: The truth is, I want to tell the truth. “My halmoni is sick,” I tell him. When he looks confused, I clarify: “My grandma.”] He blows air from his lips.	비밀을 하나 털어놓자 어깨가 가벼워집니다.
19	The Bait	5	리키가 덫에 꼭 필요하다고 한 것은?	생고기 미끼	그물	호루라기	불	1	“Wait, what?” [RED: “According to the internet, the most important part of the tiger trap is the bait. Most tiger hunters used raw meat, like beef or—”] “Well, it’s hypothetical, so…we won’t do that,” I say.	인터넷을 찾아보니 미끼가 가장 중요하다고 했습니다.
19	The Bait	6	릴리가 미끼로 쓰기로 정한 것은?	할머니의 목걸이	생고기	떡	별 항아리	4	But even under the bed, they seem to glow. [RED: Raw meat won’t work, because magical tigers play by different rules. But looking at these jars, I realize: I’ve found my bait.]	마법 호랑이에게는 다른 미끼가 필요하다고 판단합니다.
20	Two Ends of the Sky	1	샘이 릴리에게 해 준 것은?	머리를 새로 땋아 주었다	옷을 빌려주었다	저녁을 차려 주었다	숙제를 봐 주었다	1	And I guess I have to wait a few hours anyway. [RED: When I give up and sit in front of the mirror, Sam kneels behind me. She unravels my braids, twisting the strands, weaving them together in a new way.] As she works, my jitteriness fades, replaced by this quieter, deeper wanting.	두 갈래 땋은 머리를 왕관처럼 둘러 올려 줍니다.
20	Two Ends of the Sky	2	Why does Sam say Lily should learn to do her hair?	Because Halmoni asked	Because of the bake sale	Because school starts soon	Because Lily has a crush	4	Apparently my embarrassment puts her in a good mood. [RED: Then her eyes soften a little, and she points to the floor in front of the mirror. “Sit down. If you have a crush, you should learn how to do your hair.”] “I’m fine the way I am,” I say.	릴리는 그런 것이 아니라고 하지만 얼굴이 달아오릅니다.
20	Two Ends of the Sky	3	새로 땋은 머리를 하고 거울을 본 릴리의 느낌은?	어려 보인다	어색하다	전사 같은 공주 같다	샘을 닮았다	3	Instead of two braids framing my face, my hair is twisted into a braided crown, with wispy strands hanging around my ears. [RED: With my new hair and Halmoni’s pendant around my neck, I look like a princess. Or more—a warrior-princess.] I’m not used to seeing myself like this.	옛이야기 속 소녀와는 다른 모습이라고 느낍니다.
20	Two Ends of the Sky	4	샘이 호랑이 이야기의 결말을 슬프다고 본 이유는?	호랑이가 죽어서	자매가 하늘 양 끝에 떨어져 만나지 못해서	할머니가 잡아먹혀서	동생이 혼자 남아서	2	A sharp edge that wasn’t there before. [RED: “The sisters end up on opposite ends of the sky, and they can’t even talk to one another. They see each other every day, but only to wave hello and goodbye. They’re alone.”] I pull my knees into my chest.	릴리는 안전해졌으니 행복한 결말이라고 여겨 왔습니다.
20	Two Ends of the Sky	5	샘이 말한 옛이야기의 목적은?	잠들게 하려는 것	웃기려는 것	아이들을 겁주어 가르치려는 것	역사를 남기려는 것	3	But now I’m not so sure. [RED: “The whole point is that it’s a sad story, Lily. All those old fairy tales are meant to scare kids. It’s a lesson. You know: don’t open the door for strangers. And: run from danger.”] Silence swells in the room, filling every crack in the creaky wood.	낯선 이에게 문을 열지 말라는 가르침이라는 것입니다.
20	Two Ends of the Sky	6	What does Sam finally admit about facing a tiger?	She would definitely run.	She would fight it.	She isn’t sure what the brave thing is.	She would tell Mom.	3	She just escapes them. But a few minutes later, she says, [RED: “If it were me in the story, I don’t know. I don’t know if I’d run. I’d want to do the brave thing. It’s just, in that scenario, I’m not really sure what the brave thing is.”]	처음에는 도망치겠다고 했다가 말을 바꿉니다.
21	The Hunter	1	릴리가 한밤중에 지하실로 들고 내려간 것은?	초록색 네모난 항아리	길쭉한 투명 항아리	빈 항아리 세 개	남색 둥근 항아리	1	[RED: Carefully, I pull the square green star jar out from under my bed. Sam is asleep. The whole house is asleep. And I am ready.] As quietly as possible, I slide open the drawer where I’ve hidden Halmoni’s mugwort.	미끼로 쓰려고 별 항아리 하나를 골라 내려갑니다.
21	The Hunter	2	What does the tiger say about Lily’s trap?	It hurt her paw.	It is too weak.	She built it wrong.	She is not trapped, only testing Lily.	4	Now that you are trapped, I demand that you help her.” [RED: “Interesting. I wouldn’t have considered you the type. Unfortunately for you, I am not trapped. I am merely…testing you.”] She picks a dried herb from her sharp teeth.	갇힌 것이 아니라 릴리를 시험해 본 것이라고 말합니다.
21	The Hunter	3	릴리 주머니에 있던 쑥은 어떻게 되었나요?	계단에 떨어뜨렸다	비에 젖어 버렸다	호랑이가 먹어 버렸다	샘이 가져갔다	3	I am merely…testing you.” [RED: She picks a dried herb from her sharp teeth. “Nice mugwort, by the way.” I feel for the mugwort in my pocket, but it’s gone]—and in a flash of orange and black, the tiger disappears, too. My trap is empty.	액막이로 넣어 둔 쑥이 아무 소용이 없었습니다.
21	The Hunter	4	호랑이가 새로 내놓은 거래의 조건은?	목걸이를 넘길 것	떡을 매일 가져올 것	이야기를 들려줄 테니 들어야 한다는 것	할머니를 데려올 것	3	“What’s your offer?” [RED: “You return the stories, your halmoni feels better. But here’s the fun part: in order to return the stories to the sky, I must tell them.” She flashes her teeth. “And stories are always better with an audience.”] I take a deep breath.	이야기는 듣는 사람이 있어야 한다고 말합니다.
21	The Hunter	5	What does Lily do at the end of the chapter?	She calls for Sam.	She hides the jar.	She runs upstairs.	She opens the jar.	4	Do you accept?” [RED: I grip the jar tighter as I brace myself. “Yes.” Her sharp teeth glow. And I open the jar.]	믿지 않는다고 말하면서도 결국 항아리를 엽니다.
22	The Girl of Two Worlds	1	What could the girl of two worlds do?	Become invisible	Fly	Breathe underwater	Shift between tiger and human	4	Then she begins. Long, long ago, when man walked like tiger, when nights were dark as ink, long before the sun and the moon and even the stars—[RED: there was a girl born of two worlds. She had two sets of skin and she could shift as she pleased: tiger to human, human to tiger.] She loved her magic, and she loved both worlds equally.	낮에는 사람으로, 밤에는 호랑이로 살았습니다.
22	The Girl of Two Worlds	2	호랑이 소녀가 하늘님에게 부탁한 것은?	사람들을 벌해 달라	딸의 호랑이 마법을 없애 달라	딸을 호랑이로 만들어 달라	자기를 하늘로 데려가 달라	2	So the tiger-girl asked her human mother to protect the baby, and left to climb the tallest mountain, up and up, until she reached the sky god. [RED: I have never once complained, she told him, but I am doing this for my daughter. I am asking you to spare her. Take away her magic. Turn us both human and lock our tiger side away.] The sky god was not pleased.	딸이 자기처럼 둘로 쪼개져 살지 않기를 바랐습니다.
22	The Girl of Two Worlds	3	하늘님이 처음 내건 조건은?	금 백 냥을 바쳐라	아기를 백 일 동안 동굴에 두고 쑥만 먹여라	호랑이 가죽을 가져와라	천 개의 이야기를 지어내라	2	I will grant your wish. I can take away your magic, and your baby’s, but first…hmm…[RED: your baby must live alone in a cave for one hundred days, without the sun. Oh, and she can only eat mugwort.] The tiger-girl was horrified.	단군 신화의 시련을 그대로 가져온 조건입니다.
22	The Girl of Two Worlds	4	결국 호랑이 소녀가 치른 대가는?	기억을 잃었다	하늘 궁전에 올라가 하늘님의 마법을 배웠다	땅에서 쫓겨났다	목숨을 내놓았다	2	But one day, I will need someone to replace me. [RED: Come live as a sky princess, in my sky castle, and learn my magic. In return, I will grant your wish.] So the tiger-girl agreed, and the sky god, oh so generous, gave her one last day with her daughter.	딸을 두고 하늘로 올라가 다음 하늘님이 될 준비를 합니다.
22	The Girl of Two Worlds	5	What did the tiger-girl’s last tear become?	A flower	A star	A pearl	A jar	3	Her daughter would never be lost and lonely in her secrets. [RED: Before she left, the tiger-girl hugged her baby goodbye and cried and cried, and when the last tear fell from her eye, it turned into a pearl—a final goodbye, a pendant for her daughter to wear, right above her heartbone.] Goodbye, she whispered, and be safe.	릴리가 목에 걸고 있는 그 진주 펜던트입니다.
22	The Girl of Two Worlds	6	호랑이가 다음 만남에 가져오라고 한 것은?	별 항아리와 떡	할머니의 목걸이	쑥 한 다발	생고기	1	She shrugs, trying to look casual, but her muscles are tense as they ripple beneath her fur. [RED: “Anyway, bring me the next star jar tomorrow, at two a.m., and I will tell you another story. Oh, and bring some rice cakes, too. It’s the least you can do, if we must meet in this stuffy basement.”] “Wait,” I say, “what consequences?	새벽 두 시에 항아리와 떡을 들고 오라고 합니다.
23	Consequences	1	릴리가 이날 하고 싶어 한 일은?	지하실을 치우는 것	도서관에 가는 것	떡을 만드는 것	리키를 만나는 것	3	[RED: The next afternoon, I announce, “I need to make rice cakes.”] When I walk downstairs, Mom and Halmoni are sitting together at the dining table, and I join them, plopping myself into a chair.	호랑이에게 가져갈 떡이 필요했기 때문입니다.
