chapter_no	chapter_title	eng	kor	remark
18	Tiger Trapmaster	camo-patterned top hat	위장무늬 실크해트	실크해트는 통이 높고 반듯한 예장용 모자로 마술사와 19세기 신사의 상징입니다. 반대로 위장무늬(camo)는 미국에서 군인과 사냥꾼의 표지이고 시골에서는 아예 평상복 무늬로도 입습니다. 그 둘을 한 모자에 붙여 놓았으니 격식과 사냥이 뒤섞인 우스운 물건이 됩니다. 리키는 온몸을 위장무늬로 감싸고 이 모자까지 쓴 채 밧줄을 몸에 두르고 나타나 "호랑이 덫 장인, 대령이오"라고 인사합니다. 사냥꾼 흉내를 있는 힘껏 내 본 차림이고, 증조부가 진짜 호랑이 사냥꾼이었다는 사실과 겹쳐 놓으면 우습기만 한 장면도 아닙니다.
19	The Bait	Lex Luthor	렉스 루서 (슈퍼맨의 숙적)	슈퍼맨에 맞서는 대표 악당으로, 힘이 아니라 재산과 머리로 슈퍼맨을 몰아붙이는 사업가입니다. 크립톤은 슈퍼맨이 태어난 별의 이름이고, 리키가 들고 온 만화에서 루서는 슈퍼맨을 가두어 놓고 그 별의 비밀을 캐내려 합니다. 리키는 그저 신이 나서 줄거리를 옮겼을 뿐인데 릴리는 그 말을 듣고 "그럼 내가 악당이라는 소리잖아" 하며 발끈합니다. 호랑이를 가두려는 자기 계획이 실은 누구를 가두는 일인지 릴리 스스로도 어렴풋이 알고 있다는 뜻이라, 지나가는 만화 이야기가 이 장의 속내를 정확히 찔러 놓습니다.
19	The Bait	failed language arts	국어(영어) 과목에서 낙제했다	미국 학교는 한 과목에서 낙제하면 여름에 보충수업을 듣고 시험을 다시 치러야 하며, 그것마저 통과하지 못하면 같은 학년을 한 해 더 다닙니다. 이것을 grade retention이라 하고 초등학교와 중학교에서도 실제로 일어납니다. 사실상 유급이 없는 한국 학교와 크게 다른 점이라, 몇 주 뒤 시험에 떨어지면 6학년을 다시 다녀야 한다는 리키의 말이 얼마나 무거운지 알려면 이 제도를 알아야 합니다. 그런데 릴리가 보기에 리키는 과외 시간마다 딴청을 부리며 일부러 배우지 않으려는 것처럼 굴고, 이 관찰은 뒤에 가서 이유를 얻습니다.
22	The Girl of Two Worlds	mugwort	쑥	국화과의 풀로 우리나라에서는 떡에 넣고 국을 끓이며 말려서 약재와 뜸에 씁니다. 호랑이가 들려주는 이야기에서 하늘님이 "아기를 백 일 동안 햇빛 없는 동굴에 두고 쑥만 먹여라"라고 내거는 조건은 단군 신화에서 곰과 호랑이가 사람이 되려고 치른 시련을 그대로 가져온 것입니다. 다만 마늘이 빠지고 쑥만 남았고, 스스로 사람이 되겠다고 견디는 시련이 아니라 갓난아기에게 대신 지우는 대가로 바뀌었습니다. 12장에서 할머니가 릴리 주머니에 넣어 준 액막이용 마른 풀도 바로 이 쑥이어서, 멀리 떨어진 두 장이 이 한 낱말로 이어집니다.
23	Consequences	shoji screens	쇼지 (일본식 미닫이 창호)	쇼지는 나무틀에 얇은 종이를 바른 일본식 미닫이문입니다. 이 식당 하나에 일본 것과 중국 것과 한국 것이 뒤죽박죽 섞여 있습니다. 쇼지와 벚꽃 그림, 손을 흔드는 금색 고양이 인형(일본 가게의 마네키네코), 사시미 메뉴는 일본 것이고, 붉은 종이 등과 입구의 돌사자와 탕수육은 중국 것이며, 안내대 위에 걸린 웃는 호랑이 그림만 한국 것입니다. 종업원은 금발 머리에 젓가락을 꽂고 있습니다. 샘이 "아시아 고정관념이 이 가게에 통째로 토해 놓은 것 같다"고 내뱉는 이유가 여기 있고, 10장에서 젠슨이 웃던 Dragon Thyme이라는 간판과 정확히 같은 이야기입니다.
23	Consequences	sweet-and-sour	스위트앤사워 (미국식 중국집의 탕수 요리)	고기나 새우를 튀겨 새콤달콤한 붉은 소스에 버무린 요리로 미국 중국집에서 가장 흔한 메뉴입니다. 미국인 입맛에 맞춰 훨씬 달게 바꾼 것이라 중국 본토의 맛과는 꽤 다르고, 이렇게 미국에서만 만들어진 중국 음식을 통틀어 American Chinese food라고 부릅니다. 엄마가 이 가게를 두고 "제대로 된 곳이 아니다(not authentic)"라며 얼굴을 찌푸리는 것이 그래서입니다. 그런데 정작 한국에서 건너온 할머니는 이 집 스위트앤사워가 제일 맛있다며 세 종류를 한꺼번에 시킵니다. 진짜와 가짜를 따지는 쪽이 미국에서 나고 자란 딸이라는 점이 이 대목의 요점입니다.
23	Consequences	a couple of twenties	20달러짜리 지폐 몇 장	미국 식당은 계산대로 가서 셈하지 않고, 종업원이 계산서를 자리까지 가져오면 그 자리에 현금이나 카드를 놓아 두는 방식입니다. 음식값의 15~20퍼센트를 팁으로 얹는 것이 관례라 늘 넉넉하게 놓습니다. 20달러 지폐는 미국에서 가장 흔하게 쓰이는 큰돈이라 현금 인출기에서도 이 지폐로 나옵니다. 엄마가 식구들을 급히 밖으로 몰아낸 뒤 "20달러 몇 장 놓고 나오라"고 하는 것은, 계산할 겨를도 없이 자리를 떠야 했지만 낼 것은 넉넉히 내고 나오겠다는 뜻입니다. 그 시선을 혼자 다 받으며 다시 들어간 것이 릴리라는 점도 함께 보아야 합니다.
23	Consequences	a classic Korean painting of a tiger	까치호랑이 (조선 민화의 웃는 호랑이 그림)	조선 후기에 널리 그려진 민화로, 소나무 위의 까치와 그 아래 호랑이를 함께 그린 것을 까치호랑이(작호도)라 합니다. 정월에 대문이나 벽에 붙여 나쁜 기운을 막는 그림이었고, 사납게 그리지 않고 눈이 크고 어쩐지 웃는 듯 어리숙하게 그린 것이 특징입니다. 릴리가 안내대 위에서 본 "눈이 떡처럼 둥글고 웃는 것처럼 보이는" 호랑이 그림이 바로 이것입니다. 일본 것과 중국 것으로 뒤범벅된 이 식당에서 한국 것은 이 그림 한 점뿐인데, 하필 호랑이에게 쫓기고 있다고 믿는 아이가 그 아래를 지나며 등이 서늘해집니다.
24	Side Effects	in God’s hands	신의 손에 달렸다 (미국에서 흔히 쓰는 체념 섞인 위로)	미국인은 열에 예닐곱이 기독교를 믿는다고 답하고, 사람 힘으로 어쩔 수 없는 일 앞에서 "이제 신의 손에 달렸다"고 말하는 것은 독실한 신자가 아니어도 쓰는 굳어진 표현입니다. 그래서 이 말은 신앙 고백이라기보다 더 할 수 있는 것이 없다는 체념에 가깝습니다. 본문은 엄마가 이 말을 하면서 "끝을 올려 마치 묻는 것처럼 들렸다"고 적어, 엄마 자신도 그 말을 믿지 못하고 있음을 드러냅니다. 곧이어 샘이 "내가 신을 안 믿으면요?"라고 되묻고 엄마가 "모르겠다"고 답하는데, 어른이 아이 앞에서 좀처럼 하지 않는 대답입니다.
25	A House Like a Museum	Rick	릭 (아들 리키에게 그대로 물려준 아버지의 이름)	미국에는 아들에게 아버지와 똑같은 이름을 붙이고 뒤에 Jr.(주니어)를 다는 관습이 있습니다. 한 집에 같은 이름이 둘이 되므로 아들은 대개 애칭으로 불러 구별하는데, 아버지가 Rick이고 아들이 Ricky인 것이 바로 그것입니다. 조상과 같은 이름을 쓰지 않는 한국과 정반대라 낯선 대목이고, 릴리도 "아들에게 자기 이름을 붙이는 아빠가 많다는 것은 알지만 여전히 이상하다"고 속으로 말합니다. 증조부가 지은 저택에 그대로 살고 제지공장을 대대로 물려받은 집안이라는 사실과 겹쳐 놓으면, 이름까지 물려주는 것이 이 집안의 방식임을 알 수 있습니다.
25	A House Like a Museum	Joan Ku	조앤 구 (엄마의 결혼 전 이름)	미국에서는 여자가 결혼하면 남편의 성으로 바꾸는 것이 오랜 관습이어서, 결혼 전 성을 maiden name이라 따로 부릅니다. 엄마의 원래 이름은 한국 성을 그대로 쓴 Joan Ku였고 아빠와 결혼하면서 Reeves가 되었습니다. 그래서 리키 아버지가 옛 이름으로 반갑게 부르자 엄마가 곧바로 "이제 리브스예요"라고 고쳐 주는 것입니다. 결혼해도 성을 바꾸지 않는 한국과 달라 이 사정을 알아야 읽히는 대목입니다. 아빠가 세상을 떠난 지 여러 해가 지났는데도 그 성을 굳이 지켜 내는 모습은, 23장에서 할머니가 "백인 남자를 따라갔다"고 서운해하던 말과 나란히 놓입니다.
25	A House Like a Museum	the paper mill	제지공장	나무를 갈아 종이를 만드는 공장으로, 워싱턴주는 침엽수림이 넓어 미국에서도 제지와 목재 산업이 크게 자리 잡은 곳입니다. 이런 소도시는 공장 하나에 마을 전체의 일자리가 걸려 있어서, 그 공장을 가진 집안이 사실상 마을의 주인 노릇을 합니다. 리키네가 바로 그 공장 주인집이라는 것을 엄마가 알려 주는 순간, 언덕 이쪽 집들은 왜 크고 페인트가 새것인지 반대로 도서관은 왜 지붕이 내려앉고 책이 몇 권 없는지가 한꺼번에 설명됩니다. 릴리가 "리키가 부자였구나" 하고 친구를 조금 다르게 보게 되는 대목이기도 합니다.
25	A House Like a Museum	Oriental rug	오리엔탈 러그 (페르시아·중앙아시아풍 무늬 융단)	페르시아와 튀르키예, 중앙아시아에서 손으로 짜던 무늬 융단을 서양에서 부르던 이름으로 지금도 카펫 업계에서는 이 말을 그대로 씁니다. 다만 Oriental을 사람에게 쓰는 것은 미국에서 인종차별적인 낡은 표현으로 여겨 쓰지 않습니다. 서양이 동양을 하나로 뭉뚱그려 신기한 물건처럼 바라보던 시선이 담긴 말이기 때문입니다. 한국계인 릴리와 엄마가 백인 부잣집 거실에 들어서자마자 붉은 Oriental rug이 눈에 들어오도록 배치한 것은 우연이 아니며, 같은 날 낮에 들렀던 Dragon Thyme의 뒤죽박죽 아시아 장식과 정확히 같은 시선입니다.
25	A House Like a Museum	bushes shaped like rabbits and cats	토피어리 (나무를 다듬어 모양을 낸 정원수)	나무나 관목을 깎아 동물이나 도형 모양으로 다듬는 정원 기법을 토피어리라 합니다. 고대 로마에서 시작해 유럽 궁전 정원에서 발달했고, 미국에서는 손이 워낙 많이 가는 일이라 사람을 두고 정원을 관리한다는 표시로 읽힙니다. 릴리는 이런 것을 처음 보고 "자연을 제 마음대로 다시 만들어 놓았다"며 눈을 떼지 못합니다. 담쟁이가 제멋대로 뒤덮은 할머니 집과 정확히 반대편에 있는 집이라는 것이 대문 앞 덤불 하나로 정해지고, 조금 뒤 릴리는 이 집을 "만지지 마세요, 물러서세요 하고 말하는 박물관"에 빗댑니다.
26	The Pinky Promise	A pinky promise	새끼손가락 걸고 하는 약속	영어로는 pinky promise 또는 pinky swear라 하고 pinky는 새끼손가락입니다. 두 사람이 새끼손가락을 걸고 흔들어 약속을 맺는데, 미국에서는 어기면 새끼손가락을 잘린다는 무서운 맹세로 알려져 있고 일본의 유비키리(손가락 자르기)에서 건너온 것으로 봅니다. 손가락을 걸고 도장까지 찍는 우리 방식과 뿌리가 같습니다. 이 장에서 자매는 각자 어디로 가는지 끝내 말하지 않은 채 새끼손가락만 걸고 헤어지는데, 말하지 않아도 지키겠다는 약속이라 오히려 무겁습니다. 그러고는 한 사람은 밧줄을 타고 내려가고 한 사람은 계단으로 내려갑니다. 옛이야기에서 자매가 하늘로 올라갈 때 잡았던 바로 그 동아줄과 계단입니다.
27	Jars of Love	Goodnight stars	잘 자, 별들아 (그림책 《Goodnight Moon》의 마지막 후렴)	마거릿 와이즈 브라운이 1947년에 낸 그림책 《Goodnight Moon》(잘 자요, 달님)의 마지막 대목입니다. 아기 토끼가 방 안의 물건에 하나씩 인사하다 "Goodnight stars. Goodnight air. Goodnight noises everywhere."로 끝나는데, 미국에서는 일흔 해 넘게 잠자리마다 읽어 주는 책이라 어른이면 첫 줄만 들어도 압니다. 본문은 출처를 밝히지 않고 이 구절을 할머니가 손녀에게 불러 주는 자장가로 슬쩍 얹어 놓았습니다. 한국 옛이야기 속 할머니가 미국 그림책의 구절을 노래한다는 것 자체가 이 이야기들이 어느 한 나라에만 속하지 않는다는 뜻이며, 마지막 낱말 everywhere가 빠진 채 줄표로 끊긴 것도 눈여겨볼 자리입니다.
27	Jars of Love	gnashed her terrible teeth	무시무시한 이를 갈았다 (그림책 《괴물들이 사는 나라》의 문장)	모리스 샌닥이 1963년에 낸 그림책 《Where the Wild Things Are》(괴물들이 사는 나라)에서 가장 유명한 문장입니다. 원문은 "they roared their terrible roars and gnashed their terrible teeth and rolled their terrible eyes"로, 괴물들이 맥스를 겁주려고 몸짓하는 대목입니다. 본문이 바로 앞에서 소녀를 "A wild thing"이라 부른 것까지 합치면 이 그림책을 그대로 가리키고 있습니다. 그 책에서 괴물들의 나라를 다스리게 되는 것이 결국 맥스라는 아이이듯, 여기서도 호랑이로 변한 것은 괴물이 아니라 어린 손녀입니다. 무섭게 보이는 쪽이 실은 겁먹은 아이라는 점이 두 이야기의 공통점입니다.
28	Kimchi at Midnight	three heads	머리가 셋 달린 (괴물 보듯 빤히 쳐다볼 때)	영어에는 누가 자기를 이상한 사람 보듯 빤히 쳐다볼 때 "머리가 둘(셋) 달린 사람 보듯 본다"고 말하는 관용 표현이 있습니다. 상대가 나를 괴물 취급한다는 뜻이라 글자 그대로 옮기면 어리둥절해지는 대목입니다. 한밤중에 엄마가 조리대 위에 걸터앉아 손가락으로 김치를 집어 먹는, 평소라면 있을 수 없는 모습을 릴리가 빤히 쳐다보자 엄마가 이 말을 합니다. 규칙을 세우는 쪽이던 엄마가 스스로 규칙을 깨는 밤이고, 릴리와 엄마가 처음으로 비밀 하나를 나누어 갖는 장면이기도 합니다.
30	The Witch Lady	Dewey	듀이 (십진분류법을 만든 도서관학자 멜빌 듀이)	멜빌 듀이가 1876년에 만든 듀이 십진분류법은 세상의 모든 지식을 000부터 900까지 열 갈래로 나누고 그 아래를 다시 열씩 쪼개 책마다 번호를 매기는 방식으로, 미국 도서관은 거의 전부 이 방식을 씁니다. 한국십진분류법도 이것을 본떠 만든 것입니다. 왜 사서가 되었느냐는 물음에 조가 "듀이 때문"이라고만 답하는 것은 사람 이름을 댄 짧은 농담이자, 세상 모든 것이 제자리에 놓여 있다는 생각이 좋았다는 고백이기도 합니다. 그런 조가 곧이어 "이야기는 정리되지 않는다, 이야기는 물 같은 것"이라고 말하는 대목이 이 장에서 가장 중요한 자리입니다.
30	The Witch Lady	where are you from	어디서 왔니 (아시아계 미국인이 자주 듣는 질문)	미국에서 백인이 아닌 사람에게 이 질문을 던지면 "지금 어디 사느냐"가 아니라 "너희 집안은 원래 어느 나라 사람이냐"를 묻는 것일 때가 많습니다. 미국에서 나고 자랐어도 진짜 미국인으로 보지 않는다는 뜻이 깔려 있어서, "여기서 태어났는데요"라고 답하면 "아니, 진짜로 어디 출신이냐(Where are you really from?)"가 따라붙는 것이 정해진 수순입니다. 그래서 이 질문은 미국에서 아시아계가 가장 자주 겪는 무례로 꼽힙니다. 릴리가 "길 건너에서요"라고 곧이곧대로 답한 뒤 "그가 바란 답은 이게 아니었던 것 같다"고 느끼는 대목은 그 속뜻을 알아야만 읽힙니다.
30	The Witch Lady	witch lady	마녀 아줌마	서양에서 마녀는 동화 속 존재만이 아닙니다. 1692년 미국 세일럼에서 스무 명 남짓이 마녀로 몰려 처형된 일이 있었고, 그 대상은 대개 혼자 사는 나이 든 여자, 이방인, 낯선 것을 믿는 사람이었습니다. 그래서 미국에서 어떤 여자 노인을 "마녀"라 부르는 것은 단순한 놀림이 아니라 오래된 낙인을 불러오는 말입니다. 허브를 말리고 액막이를 하며 언덕 위 담쟁이 덮인 집에 사는 한국인 할머니가 이 마을에서 "미친 마녀 아줌마"로 불리는 이유가 이것이고, 릴리가 아무 말도 못 하고 서 있는 사이 그 이름이 굳어 갑니다.
30	The Witch Lady	brownies	브라우니 (미국에서 할머니 하면 떠올리는 과자)	미국 대중문화가 그리는 전형적인 할머니는 쿠키와 브라우니를 구워 주고 흔들의자에 앉아 목도리를 뜨는 사람입니다. 광고와 그림책과 영화가 오래 되풀이해 온 그림이라 아이들 머릿속에 하나의 기준처럼 박혀 있습니다. 릴리가 잠깐이나마 "김치 대신 브라우니를 굽고, 이상한 한국 약초를 섞는 대신 목도리를 뜨는 평범한 할머니였으면" 하고 바라는 대목이 아픈 것은 그래서입니다. 자기 할머니를 남의 잣대에 대 보고 미달이라고 판정해 버린 순간이고, 릴리는 곧바로 "그럼 나도 정상이 아니다"라는 데까지 생각이 미칩니다.
32	Trying Our Best	translating	통역해 주면서	영어가 서툰 이민 부모를 대신해 아이가 통역을 하고 서류를 쓰고 관공서와 병원 일을 처리하는 것을 미국 연구자들은 language brokering이라 부릅니다. 이민 가정에서 매우 흔한 일로, 아이는 또래보다 일찍 어른 노릇을 하는 대신 제 부모가 무시당하는 장면을 옆에서 다 보게 됩니다. 엄마가 "할머니의 작은 조수로 따라다니며 통역하고 영어로 다 받아 적었다"고 말하는 한 줄이 엄마라는 사람을 거의 다 설명합니다. 규칙과 순서에 매달리고 늘 흠 없는 영어를 쓰며 회계사가 된 것도, 할머니의 방식에서 멀어진 것도 여기서 시작됩니다.
33	As You Wish	Knock on wood	나무를 두드려 (불길한 말을 한 뒤 액운을 무르는 미신)	영어권에는 나쁜 일을 입에 올렸거나 제 복을 자랑한 뒤에 나무를 세 번 두드리며 "knock on wood"라고 말해 액운을 되돌린다는 미신이 있습니다. 영국에서는 touch wood라고 합니다. 나무에 깃든 정령이 지켜 준다는 옛 믿음에서 왔다고 하며, 지금은 미신을 믿지 않는 사람도 습관처럼 씁니다. 우리말로 "말이 씨가 된다"며 뱉은 말을 서둘러 거두는 것과 자리가 같습니다. 샘이 "그냥 빨리 끝나 버렸으면 좋겠다"고 말하자 릴리가 곧바로 "취소해. 나무 두드려"라고 다그치는 것이 그래서인데, 샘은 "이제 그런 거 안 믿어"라고 잘라 말합니다.
34	Super Tiger Girl	harmony	하모니 (리키가 halmoni를 잘못 발음한 말)	리키는 릴리를 배려한다며 한국말 halmoni를 쓰려다 harmony, 곧 화음이라고 발음합니다. 릴리가 "할-머-니예요, 하모니가 아니라"라고 고쳐 주는데도 조금 뒤에는 또 hail-money처럼 부릅니다. 소리가 비슷한 영어 낱말로 자꾸 미끄러지는 것이라 우리말로 옮기면 농담이 통째로 사라집니다. 다만 이 대목은 놀리는 장면이 아닙니다. 서툴러도 남의 나라 말로 불러 보려 애쓰는 쪽이 리키이고, 릴리도 "계속 틀리지만 애쓰고 있으니 고맙다"고 받아들입니다. 30장에서 친구들과 함께 할머니를 마녀라 부르던 아이가 달라지는 자리입니다.
34	Super Tiger Girl	the den	덴 (미국 집의 아늑한 가족실 — 짐승 굴이라는 뜻도 있다)	den은 미국 주택에서 거실과 따로 두는 작고 아늑한 방으로 텔레비전을 보거나 책을 읽는 자리입니다. 그런데 den에는 사자굴이나 호랑이굴처럼 짐승이 새끼를 치고 사는 굴이라는 뜻도 있습니다. 리키 아버지가 "친구를 den으로 데려가라"고 말하자 릴리가 속으로 "그 말에는 어쩐지 살인 사건 같은 느낌이 있다"고 받아치는 것이 그래서 우스운 대목입니다. 호랑이 굴을 찾아 헤매는 아이가 하필 den이라는 이름의 방으로 안내받는 셈이어서, 이 낱말이 두 뜻으로 겹쳐 울립니다.
34	Super Tiger Girl	Raisinet	레이즈넷 (초콜릿을 씌운 건포도 과자)	건포도에 밀크초콜릿을 입힌 미국 과자로 1927년에 나와 영화관 매점에서 특히 많이 팔립니다. 짙은 갈색의 자잘한 알갱이 모양이라 바닥에 떨어져 있으면 쥐나 토끼의 똥과 구별하기 어렵다는 것이 미국에서 흔한 농담거리입니다. 리키가 흙 먹은 것쯤은 아무렇지 않다며 "지렁이도 먹어 봤고, 한 번은 분명 레이즈넷이 아니었던 레이즈넷도 먹었다"고 말끝을 흐리는 대목이 바로 그 농담입니다. 이 과자가 어떻게 생겼는지 알아야 리키가 무엇을 먹었다는 소리인지 알 수 있습니다.
34	Super Tiger Girl	Siberia	시베리아	시베리아호랑이(아무르호랑이)는 지금 남아 있는 호랑이 가운데 가장 크며, 본래 한반도와 만주와 러시아 연해주에 걸쳐 살던 같은 아종입니다. 우리 옛이야기에 나오는 호랑이가 바로 이 호랑이입니다. 20세기 들어 가죽을 노린 사냥과 서식지 파괴로 한때 야생에 마흔 마리 안팎만 남았고, 지금은 러시아 연해주를 중심으로 수백 마리가 보호받는 반면 한반도에서는 야생 개체가 사라졌습니다. 리키의 증조부가 시베리아로 사냥 원정을 다녔다는 말과, 11장에서 리키가 "지금은 불법이라 아빠가 말하지 말라고 한다"며 얼버무린 것이 여기서 이어집니다.
34	Super Tiger Girl	stay-at-home mom	전업주부 어머니	미국에서 stay-at-home mom은 직업란에 그대로 적는 하나의 자리이고, 아이의 학교 생활과 숙제와 방과 후 일정을 도맡는 것을 제 몫으로 삼습니다. 그래서 아이가 자라 더는 손이 필요 없어질 때 자기 자리가 사라졌다고 느끼는 일이 흔하고, 미국 이야기에 자주 나오는 소재이기도 합니다. 리키가 "엄마는 전업주부였고 늘 숙제를 봐 줬는데, 요즘 내가 학교에서 잘하게 되면서 도움이 필요 없어졌고 그래서 내가 없어도 괜찮다고 생각했나 보다"라고 말하는 것이 이것입니다. 리키가 왜 일부러 공부를 놓아 버리는지가 이 한마디로 풀립니다.
35	Just Jars	fly market	파리 시장 (할머니가 flea market을 잘못 말한 것)	flea market은 벼룩시장, 곧 헌 물건을 늘어놓고 파는 장입니다. 19세기 파리의 헌 물건 장터에 벼룩이 들끓는다 하여 붙은 이름이고 우리말 벼룩시장도 이 말을 그대로 옮긴 것입니다. 할머니는 flea(벼룩)를 fly(파리)로 바꿔 fly market이라 말하고, 릴리가 곧바로 알아듣고 고쳐 줍니다. 할머니의 서툰 영어가 만들어 낸 마지막 말장난입니다. 그런데 이 짧은 실수 바로 뒤에 소설에서 가장 큰 것이 뒤집힙니다. 별을 담아 두었다던 항아리가 실은 바닷가 벼룩시장에서 사 온 그냥 항아리였다는 말이 여기서 나오기 때문입니다.
37	Supernova	supernova	초신성	초신성은 별이 생의 마지막 단계에서 매우 밝게 폭발하는 현상입니다. 특히 질량이 큰 별의 핵붕괴 초신성은 별 내부에서 만들어진 원소를 우주 공간으로 흩뿌리고, 폭발 과정에서도 일부 무거운 원소가 만들어집니다. 다만 철보다 무거운 모든 원소가 초신성에서만 생기는 것은 아니며 중성자별 병합이나 다른 별 내부 과정도 중요한 기원입니다. 릴리는 5학년 천문 단원에서 배운 초신성을 떠올리며 별 항아리를 깨뜨리는 일을 ‘나만의 초신성’이라고 부릅니다. 별이 사라지는 동시에 그 물질이 다음 세대의 재료로 퍼지듯, 봉인된 이야기도 깨진 뒤 가족 안으로 퍼지기 시작한다는 비유입니다.
39	Dad's List	his favorite picture books	아빠가 제일 좋아하던 그림책들	샘이 아빠를 잊지 않으려고 밤마다 외던 목록에서, 아빠가 매일 밤 읽어 주던 그림책 세 권의 이름이 처음으로 한자리에 나옵니다. 《If You Give a Mouse a Cookie》(생쥐에게 과자를 주면), 《Where the Wild Things Are》(괴물들이 사는 나라), 《Goodnight Moon》(잘 자요, 달님)으로 미국 아이라면 누구나 거쳐 가는 책들입니다. 그런데 이 세 권은 앞에서 이미 출처 없이 지나갔습니다. 5장에서 호랑이가 떡을 받아먹는 대목, 27장에서 소녀가 "무시무시한 이를 갈던" 대목, 그리고 할머니가 불러 주던 자장가가 각각 그것입니다. 아빠를 기억하지 못한다고 믿었던 릴리의 이야기 속에 아빠가 읽어 준 문장들이 이미 들어와 있었다는 뜻이라, 이 장에서 가장 조용하고 중요한 자리입니다.
40	Breaking In	getaway driver	도주 차량 운전자	은행을 털러 들어간 일당이 나올 때까지 밖에서 시동을 걸어 놓고 기다리다 태우고 달아나는 역할로, 미국 범죄영화에 빠지지 않고 나오는 자리입니다. 릴리가 한밤중에 잠긴 도서관 창문으로 기어들려 하자 샘이 "내가 네 도주 차량 운전자가 되어 주겠다"고 받아치는 것이 그래서 우스운 대목입니다. 게다가 샘은 바로 조금 전 빗속에서 운전을 못 하겠다며 차를 세운 참이라 "물론 나는 비 오는 날 운전을 못 하지만"이라고 스스로 덧붙입니다. 무섭고 급한 밤에 두 자매가 처음으로 함께 웃는 자리입니다.
41	More Than One Truth	strep	연쇄상구균 인두염 (미국 아이들이 흔히 걸리는 목 감염)	strep throat의 줄임말로 연쇄상구균이 목에 감염되어 열이 나고 목이 몹시 아픈 병입니다. 미국 학교에서 워낙 흔해 아이가 목이 아프다고 하면 병원에서 면봉으로 목을 훑어 몇 분 만에 결과를 보는 신속검사를 하고, 항생제를 하루쯤 먹으면 다시 등교합니다. 우리가 편도염이라 부르는 것과 겹치지만 미국 아이에게는 감기만큼 익숙한 이름입니다. 릴리가 "아프다는 건 샘이 독감에 걸려 코가 빨개진 것, 내가 strep에 걸려 목이 부었던 것"이라고 늘어놓는 것은 누구나 겪고 지나가는 병들을 꼽은 것이고, 그래서 곧바로 "이건 그런 아픔이 아니다"라는 말이 뒤따릅니다.
41	More Than One Truth	scrubs	수술복 (의료진이 병원에서 입는 헐렁한 상하의)	의사와 간호사가 병원에서 입는 헐렁한 반팔 상의와 바지입니다. 원래 수술실에 들어가기 전 손과 팔을 빡빡 문질러 씻는(scrub) 데서 이름이 왔고, 지금은 병원 전체에서 입으며 부서마다 색을 달리하기도 합니다. 미국 병원을 그린 이야기에서 인물의 옷을 scrubs라고만 적어도 곧바로 의료진임을 알 수 있는 표시입니다. 릴리를 찾아 나온 사람이 "분홍색 수술복에 주황색 립스틱을 바른 아시아계 간호사"로 그려지는데, 이 마을에서 릴리네 식구 말고 아시아계가 등장하는 몇 안 되는 자리이기도 합니다.
45	Even If Things Aren't Perfect	cheesy posters	촌스러운 포스터들	도서관이 왜 그렇게 알록달록한지, 직원 휴게실 벽에 왜 나뭇가지에 매달린 고양이 포스터가 붙어 있는지가 이 한 줄에서 풀립니다. 오래전 할머니가 이 도서관을 자기 일거리로 삼아 밝은 색을 칠하고 이런 포스터들을 붙여 두었던 것입니다. 9장에서 어린 릴리가 알록달록한 문틀과 창틀을 보고 「헨젤과 그레텔」의 과자집 같다며 무서워한 것도, 10장에서 "저 고양이 포스터는 조가 붙였을 리 없다"고 짚은 것도 여기서 한꺼번에 답을 얻습니다. 릴리가 무서워하던 그 집을 꾸민 사람이 실은 할머니였다는 것을, 할머니가 떠난 뒤에야 알게 되는 자리입니다.
46	Invisible Things	a black bowler hat	검정 볼러 햇 (챙이 좁고 위가 둥근 중산모)	1849년 영국에서 만들어진 둥근 모직 모자로 윗부분이 반구처럼 둥글고 챙이 좁게 말려 있습니다. 한때 영국 신사의 상징이었다가 찰리 채플린이 쓰면서 우스꽝스러움의 표시가 되기도 했고, 지금은 일부러 옛 멋을 내는 사람이 쓰는 모자입니다. 리키가 쓰고 나온 모자를 차례로 늘어놓으면 뉴스보이 캡, BEANS라고 적힌 비니, 위장무늬 실크해트, 아무 무늬 없는 검정 야구모자, 그리고 이 볼러 햇입니다. 사과하러 만나던 날에만 평범한 야구모자를 썼다가 마지막 장에서 "할머니가 좋아했을 화려한" 볼러 햇으로 돌아온 것이라, 모자 하나로 리키가 제자리를 찾았음을 알려 줍니다.
